global_id,street_name,house_number,house_number_suffix,postcode,city,province,price,living_area,plot_area,rooms,bedrooms,energy_label,status,description,offering_type,publication_date
90000001,Prinsengracht,1,,1016GV,Amsterdam,Noord-Holland,768061,73,100,2,1,A,beschikbaar,Sfeervolle woning aan de Prinsengracht.,koop,2024-01-15
90000002,Prinsengracht,3,,1016GV,Amsterdam,Noord-Holland,717853,51,,2,1,D,verkocht onder voorbehoud,Modern herenhuis aan de Prinsengracht.,koop,2024-01-15
90000003,Prinsengracht,5,,1016GV,Amsterdam,Noord-Holland,758013,116,,3,2,A,beschikbaar,Modern herenhuis aan de Prinsengracht.,koop,2024-01-15
90000004,Prinsengracht,7,,1016GV,Amsterdam,Noord-Holland,644342,68,121,2,1,E,onder bod,Sfeervolle woning aan de Prinsengracht.,koop,2024-01-15
90000005,Prinsengracht,9,,1016GV,Amsterdam,Noord-Holland,748346,137,,4,3,D,beschikbaar,Ruim appartement met balkon aan de Prinsengracht.,koop,2024-01-15
90000006,Prinsengracht,11,,1016GV,Amsterdam,Noord-Holland,668132,116,243,3,2,B,beschikbaar,Ruim appartement met balkon aan de Prinsengracht.,koop,2024-01-15
90000007,Prinsengracht,13,,1016GV,Amsterdam,Noord-Holland,755397,86,99,2,1,G,verkocht onder voorbehoud,"Compacte woning dichtbij het centrum, Prinsengracht.",koop,2024-01-15
90000008,Prinsengracht,15,,1016GV,Amsterdam,Noord-Holland,645186,59,38,2,1,E,beschikbaar,Sfeervolle woning aan de Prinsengracht.,koop,2024-01-15
90000009,Prinsengracht,17,,1016GV,Amsterdam,Noord-Holland,695285,125,157,4,3,B,verkocht onder voorbehoud,Ruim appartement met balkon aan de Prinsengracht.,koop,2024-01-15
90000010,Prinsengracht,19,,1016GV,Amsterdam,Noord-Holland,679700,112,,3,2,B,onder bod,"Karakteristiek pand in het centrum, Prinsengracht.",koop,2024-01-15
90000011,Keizersgracht,1,,1015CJ,Amsterdam,Noord-Holland,739481,171,42,5,4,E,beschikbaar,Ruim appartement met balkon aan de Keizersgracht.,koop,2024-01-15
90000012,Keizersgracht,3,,1015CJ,Amsterdam,Noord-Holland,771838,47,,2,1,A,onder bod,"Karakteristiek pand in het centrum, Keizersgracht.",koop,2024-01-15
90000013,Keizersgracht,5,,1015CJ,Amsterdam,Noord-Holland,602894,112,,3,2,D,onder bod,Lichte bovenwoning aan de Keizersgracht.,koop,2024-01-15
90000014,Keizersgracht,7,,1015CJ,Amsterdam,Noord-Holland,580105,180,,6,5,C,beschikbaar,Sfeervolle woning aan de Keizersgracht.,koop,2024-01-15
