global_id,price,human_price,source,status,date,timestamp
90000001,808061,€ 808.061 k.k.,funda,asking_price,1 januari 2024,2024-01-01T00:00:00+00:00
90000001,778061,€ 778.061 k.k.,funda,asking_price,7 februari 2024,2024-02-07T00:00:00+00:00
90000001,768061,€ 768.061 k.k.,funda,asking_price,17 april 2024,2024-04-17T00:00:00+00:00
90000002,717853,€ 717.853 k.k.,funda,asking_price,19 augustus 2024,2024-08-19T00:00:00+00:00
90000003,788013,€ 788.013 k.k.,funda,asking_price,7 maart 2024,2024-03-07T00:00:00+00:00
90000003,758013,€ 758.013 k.k.,funda,asking_price,4 juni 2024,2024-06-04T00:00:00+00:00
90000004,684342,€ 684.342 k.k.,funda,asking_price,3 juli 2024,2024-07-03T00:00:00+00:00
90000004,654342,€ 654.342 k.k.,funda,asking_price,10 september 2024,2024-09-10T00:00:00+00:00
90000004,644342,€ 644.342 k.k.,funda,asking_price,20 november 2024,2024-11-20T00:00:00+00:00
90000005,758346,€ 758.346 k.k.,funda,asking_price,28 april 2024,2024-04-28T00:00:00+00:00
90000005,748346,€ 748.346 k.k.,funda,asking_price,13 februari 2024,2024-02-13T00:00:00+00:00
90000006,698132,€ 698.132 k.k.,funda,asking_price,21 oktober 2024,2024-10-21T00:00:00+00:00
90000006,678132,€ 678.132 k.k.,funda,asking_price,18 maart 2024,2024-03-18T00:00:00+00:00
90000006,668132,€ 668.132 k.k.,funda,asking_price,8 december 2024,2024-12-08T00:00:00+00:00
90000007,755397,€ 755.397 k.k.,funda,asking_price,11 november 2024,2024-11-11T00:00:00+00:00
90000008,645186,€ 645.186 k.k.,funda,asking_price,23 oktober 2024,2024-10-23T00:00:00+00:00
90000009,715285,€ 715.285 k.k.,funda,asking_price,24 april 2024,2024-04-24T00:00:00+00:00
90000009,695285,€ 695.285 k.k.,funda,asking_price,18 september 2024,2024-09-18T00:00:00+00:00
90000010,679700,€ 679.700 k.k.,funda,asking_price,17 maart 2024,2024-03-17T00:00:00+00:00
90000011,779481,€ 779.481 k.k.,funda,asking_price,13 juli 2024,2024-07-13T00:00:00+00:00
90000011,749481,€ 749.481 k.k.,funda,asking_price,15 oktober 2024,2024-10-15T00:00:00+00:00
90000011,739481,€ 739.481 k.k.,funda,asking_price,9 september 2024,2024-09-09T00:00:00+00:00
90000012,801838,€ 801.838 k.k.,funda,asking_price,14 mei 2024,2024-05-14T00:00:00+00:00
90000012,781838,€ 781.838 k.k.,funda,asking_price,15 maart 2024,2024-03-15T00:00:00+00:00
90000012,771838,€ 771.838 k.k.,funda,asking_price,24 januari 2024,2024-01-24T00:00:00+00:00
90000013,622894,€ 622.894 k.k.,funda,asking_price,12 maart 2024,2024-03-12T00:00:00+00:00
90000013,602894,€ 602.894 k.k.,funda,asking_price,18 maart 2024,2024-03-18T00:00:00+00:00
90000014,610105,€ 610.105 k.k.,funda,asking_price,2 april 2024,2024-04-02T00:00:00+00:00
90000014,580105,€ 580.105 k.k.,funda,asking_price,19 april 2024,2024-04-19T00:00:00+00:00
90000015,775758,€ 775.758 k.k.,funda,asking_price,16 november 2024,2024-11-16T00:00:00+00:00
90000016,746373,€ 746.373 k.k.,funda,asking_price,22 juli 2024,2024-07-22T00:00:00+00:00
90000016,736373,€ 736.373 k.k.,funda,asking_price,12 november 2024,2024-11-12T00:00:00+00:00
90000016,716373,€ 716.373 k.k.,funda,asking_price,17 augustus 2024,2024-08-17T00:00:00+00:00
90000017,729221,€ 729.221 k.k.,funda,asking_price,8 oktober 2024,2024-10-08T00:00:00+00:00
90000018,583234,€ 583.234 k.k.,funda,asking_price,8 september 2024,2024-09-08T00:00:00+00:00
90000019,804622,€ 804.622 k.k.,funda,asking_price,26 augustus 2024,2024-08-26T00:00:00+00:00
90000019,784622,€ 784.622 k.k.,funda,asking_price,7 juli 2024,2024-07-07T00:00:00+00:00
90000019,764622,€ 764.622 k.k.,funda,asking_price,4 februari 2024,2024-02-04T00:00:00+00:00
90000020,629200,€ 629.200 k.k.,funda,asking_price,11 december 2024,2024-12-11T00:00:00+00:00
90000020,599200,€ 599.200 k.k.,funda,asking_price,8 februari 2024,2024-02-08T00:00:00+00:00
90000020,589200,€ 589.200 k.k.,funda,asking_price,7 april 2024,2024-04-07T00:00:00+00:00
90000021,614761,€ 614.761 k.k.,funda,asking_price,14 maart 2024,2024-03-14T00:00:00+00:00
90000021,604761,€ 604.761 k.k.,funda,asking_price,16 augustus 2024,2024-08-16T00:00:00+00:00
90000021,594761,€ 594.761 k.k.,funda,asking_price,28 april 2024,2024-04-28T00:00:00+00:00
90000022,707346,€ 707.346 k.k.,funda,asking_price,23 juli 2024,2024-07-23T00:00:00+00:00
90000022,677346,€ 677.346 k.k.,funda,asking_price,26 december 2024,2024-12-26T00:00:00+00:00
